Size,Details,State of repair,Name_1,Name_2,Known_for_1,Known_for_2,Known_for_3,Known_for_4,Known_for_5,Drink_1,Drink_2,Food_Dessert,Food_Seafood,Food_Poor,Food_Common,Food_Good,Food_Best
,Small birds flutter about inside,,Gilded,Feather,,,,,,,,Grapes in mead sauce,Herring and carrots,Mutton seasoned with horseradish,Onion pie,Mushrooms in eravy,Peacock and gray peas in broth
,high ceilinged - building used to be (noble's house/guildhall),,Golden,Garden,,,,,,,,Griddle scones and strawberries,Liver sausage and pickled cabbage,Oatmeal porridge,Onions in goose broth,Nut bread with wine sauce,Pig's head with pickled cabbage
,big leaded glass windows with (red/green/orange) and (yellow/blue/purple) diamonds,,Good,Gate,,,,,,,,Honeycomb,Lobster and vinegar,Pickled herring and cabbage,Pancakes and fried bacon,Pickled pigs' cheeks with horseradish,Poached swan and herbed parsnips
,wall adorned with hunting trophies (deer/boar/bear/wolf),,Green,Goblet,,,,,,,,Honeyed pastrv skulls,Mackerel soup,Pork knuckles,Pastry stuffed with spinach and purslane,Pie made from onions and wine,Pork neck stewed in beer and mustard
,steel & copper plate of twin tailed comet on wall,,Grey,Griffin,,,,,,,,Marmalade and spiced bread,Mussels and melted butter,Porridge made from vetch,Pie of hen meat and beets,Pork dumplings in gravy,Roast goose with baked aooles
,small shrine to (Handrich/Ranald/Manann),,Half-way,Harbour,,,,,,,,Milk and honey,Oyster stew and baked bread,Pot roasted pork and beans,Pork sausage with boiled onions,Pork slices in hot cider,Seared beef heart and carrots
,Elaborate carving of thorns & (moon/roses/sun) behind the bar,,Happy,Haven,,,,,,,,Mint candies,Pea soup and hard crackers,Pottage of groats and lentils,Roast rabbit and herbs,Roast mutton on toast,Seared venison in rowan berry sauce
,Tiny windows with smoky interior,,Harvesters,Head,,,,,,,,Mulberries and cream,Salted mackerel with dry bread,Rye bread and gravy,Soup of choooed mutton and radishes,Roasted pork and apple slices,Sliced pork in grape sauce
,Dart board on wall,,Hearty,Hearth,,,,,,,,Peach cobbler,Sardines and crusty bread,Salted pretzel and mustard,Soup of white peas and garlic,Sliced eggs and sausage in gravy,Snails in liver sauce
,Family tree of local landdowner on the wall,,Leaning,Heaven,,,,,,,,Pears soaked in bacon fat,Soup of peas and bacon,Sausage and a roll,Spicy beet pie,Spinach dumplings in garlic,Stew of calf lungs and heart
,Sign for baths (8d),,Lost,Homestead,,,,,,,,Plum pie,Soup of shark meat and shallots,Soup of beets and onions,Steak and kidney pie,Stewed rabbit with shallots,Stewed beef and mushrooms
,Sign for snug (1s),,Merry,Hoof,,,,,,,,Raspberry strudel,Steamed clams and cream sauce,Sour rye meal mash,Stew of horse flesh and chestnuts,Veal sausages with steamed cabbage,Suckling pigs in broth
,(white/yellow/red/blue) flower pots decorate window sills,,Northern,Horse,,,,,,,,Sliced apricots in cream,Whelks and cabbage,Thickened barley and haricot bean soup,Stewed peas and garlic,Venison steak with roasted truffles,Sweetbreads and pan drippings
,Painting of the Emperor above the bar,,Reavers,House,,,,,,,,Treacle on sugared bread,,,,,
,Greatsword on the wall above the bar,,Roamers,Inn,,,,,,,,,,,,,
,(Flute/Lute/Violin/Horn) on the wall above the bar,,Rovers,Lodge,,,,,,,,,,,,,
,Wide stone hearth surrounded by stools,,Shining,Mansion,,,,,,,,,,,,,
,Several cats,,Silver,Mare,,,,,,,,,,,,,
,A big dog,,Southern,Moon,,,,,,,,,,,,,
,trampled earthen floor,,Sovereign,Pint,,,,,,,,,,,,,
,,,Thirsty,Place,,,,,,,,,,,,,
,,,Three,Pony,,,,,,,,,,,,,
,,,Thriving,Quarter,,,,,,,,,,,,,
,,,Tilted,Rat,,,,,,,,,,,,,
,,,Travellers,Resthouse,,,,,,,,,,,,,
,,,Two,Retreat,,,,,,,,,,,,,
,,,Wanderers,Return,,,,,,,,,,,,,
,,,Weary,Rooms,,,,,,,,,,,,,
,,,Western,Shelter,,,,,,,,,,,,,
,,,White,Sign,,,,,,,,,,,,,
,,,Voyagers,Snug,,,,,,,,,,,,,
,,,Yellow,Stallion,,,,,,,,,,,,,
,,,,Steed,,,,,,,,,,,,,
,,,,Table,,,,,,,,,,,,,
,,,,Tankard,,,,,,,,,,,,,
,,,,Unicorn,,,,,,,,,,,,,
,,,,Well,,,,,,,,,,,,,
